year,month,day,country,region,state,city,attack_type,weapon_type,target_type,number_of_kills,number_of_wounded,property_damaged,lof_score,is_outlier
1995,10,11,Indonesia,Southeast Asia,East Timor,Dili,Hostage Taking (Kidnapping),Unknown,Police,0.0,2.0,1,214963562.07866183,True
1995,10,14,Russia,Eastern Europe,Moscow,Moscow,Hijacking,Firearms,Tourists,1.0,0.0,0,444042724.57239497,True
1995,10,16,South Korea,East Asia,Seoul,Seoul,Unknown,Unknown,Government (General),0.0,0.0,1,2654071375.309495,True
1995,10,21,Tajikistan,Central Asia,Dushanbe,Dushanbe,Assassination,Firearms,Police,2.0,0.0,0,517324646.3951465,True
1995,11,6,Azerbaijan,Central Asia,Baku,Baku,Assassination,Explosives,Government (General),0.0,0.0,0,220300925.7294498,True
1995,12,3,China,East Asia,Guangdong,Shenzen,Unknown,Unknown,Government (General),0.0,0.0,1,2654071375.309495,True
1995,12,10,Haiti,Central America & Caribbean,Sud,Les Cayes,Unknown,Unknown,Government (General),1.0,0.0,1,558190794.5892751,True
1995,12,21,Canada,North America,Quebec,Beaconsfield,Bombing/Explosion,Explosives,Private Citizens & Property,1.0,0.0,1,268637832.97737485,True
1995,12,24,Haiti,Central America & Caribbean,Ouest,Port-au-Prince,Assassination,Firearms,Government (General),2.0,2.0,0,409454402.6584394,True
1995,12,24,Haiti,Central America & Caribbean,Ouest,Port-au-Prince,Assassination,Firearms,Private Citizens & Property,0.0,4.0,0,583472523.3632762,True
1996,1,6,Taiwan,East Asia,Taipei,Taipei,Hijacking,Fake Weapons,Airports & Aircraft,0.0,0.0,0,484467073.5524151,True
1996,1,8,Mexico,North America,Jalisco,Perula,Hostage Taking (Kidnapping),Firearms,Private Citizens & Property,2.0,2.0,0,580114645.6258354,True
1996,1,8,Indonesia,Southeast Asia,Papua,"Mapunduma V., Irian Jaya",Hostage Taking (Kidnapping),Unknown,Private Citizens & Property,2.0,0.0,0,216158464.83002934,True
1996,1,12,Papua New Guinea,Australasia & Oceania,Bougainville,Bougainville Island,Unknown,Unknown,Private Citizens & Property,0.0,1.0,1,1334048454.360481,True
1996,1,12,Papua New Guinea,Australasia & Oceania,Bougainville,Bougainville Island,Unknown,Unknown,Private Citizens & Property,0.0,1.0,1,1334048454.360481,True
1996,1,12,Papua New Guinea,Australasia & Oceania,Bougainville,Bougainville Island,Unknown,Unknown,Private Citizens & Property,0.0,1.0,1,1334048454.360481,True
1996,1,17,Russia,Eastern Europe,Khanty-Mansi,Surgut district,Hijacking,Firearms,Utilities,1.0,0.0,0,444042724.57239497,True
1996,1,21,Tajikistan,Central Asia,Dushanbe,Dushanbe,Assassination,Firearms,Religious Figures/Institutions,5.0,0.0,0,999859472.2485406,True
1996,1,23,United States,North America,Florida,Miami,Bombing/Explosion,Explosives,Journalists & Media,1.0,0.0,1,268637832.97737485,True
1996,2,15,Mexico,North America,Jalisco,Guadalajara,Hostage Taking (Kidnapping),Unknown,Private Citizens & Property,2.0,0.0,0,691760521.1733829,True
1996,2,15,Guatemala,Central America & Caribbean,Guatemala,Guatemala City,Hostage Taking (Kidnapping),Firearms,Business,0.0,2.0,0,321933524.4182337,True
1996,2,22,Mexico,North America,Guerrero,Unknown,Assassination,Firearms,Private Citizens & Property,4.0,0.0,0,410178469.02056015,True
1996,3,8,Tajikistan,Central Asia,Districts of Republican Subordination,Ramit,Assassination,Firearms,Government (General),4.0,0.0,0,776926349.6274292,True
1996,3,8,Tajikistan,Central Asia,Sughd,Konibodom,Assassination,Firearms,Government (General),1.0,2.0,0,302996258.32951784,True
1996,3,27,Mexico,North America,Guerrero,Acapulco,Hostage Taking (Kidnapping),Firearms,Private Citizens & Property,1.0,0.0,0,637406746.3406882,True
